epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.8157,0.8389,3.95914,1.02445,0.03593,0.52965,0.1027,0.09059,0.50655,3.67901,0.83281,6.003e-05,6.003e-05,6.003e-05
2,11.126,0.76971,3.68911,1.00175,0.0293,0.80747,0.12933,0.11412,0.54597,3.51901,0.79945,0.000124639,0.000124639,0.000124639
3,14.3249,0.69766,3.46822,0.93009,0.02199,0.91883,0.20382,0.18036,0.50831,3.45509,0.79502,0.000187047,0.000187047,0.000187047
4,17.975,0.70167,3.17116,0.96258,0.02072,0.94697,0.24521,0.21732,0.51879,3.40193,0.7923,0.000247254,0.000247254,0.000247254
5,22.0016,0.77624,2.91475,0.97177,0.02219,0.94697,0.34892,0.31006,0.53117,3.27438,0.79842,0.000305259,0.000305259,0.000305259
6,25.1728,0.81209,2.48597,1.0416,0.0193,0.97727,0.42601,0.3794,0.52771,3.05023,0.81041,0.000361064,0.000361064,0.000361064
7,28.3053,0.7974,2.5052,0.98262,0.9791,0.15261,0.59094,0.52472,0.56062,2.74246,0.83188,0.000414667,0.000414667,0.000414667
8,32.1832,0.83758,2.05444,1.01924,0.83987,0.33233,0.64571,0.5702,0.59506,2.48939,0.84592,0.00046607,0.00046607,0.00046607
9,35.8719,0.77359,1.7899,1.01895,0.77647,0.53176,0.72428,0.64034,0.56385,2.14131,0.85245,0.000515271,0.000515271,0.000515271
10,38.8829,0.7317,1.69444,0.99808,0.72642,0.64917,0.71846,0.62768,0.60277,1.78502,0.87852,0.000562271,0.000562271,0.000562271
11,41.8576,0.68086,1.50824,0.9499,0.72697,0.74233,0.76226,0.67136,0.5597,1.41685,0.87128,0.000556945,0.000556945,0.000556945
12,46.192,0.71856,1.41862,0.95894,0.76396,0.79182,0.80637,0.70575,0.57748,1.11992,0.86886,0.00054594,0.00054594,0.00054594
13,49.3365,0.68109,1.44168,0.95285,0.73982,0.79475,0.82808,0.74116,0.53602,1.03681,0.84854,0.000534934,0.000534934,0.000534934
14,52.4091,0.63293,1.26092,0.90883,0.76776,0.84702,0.84935,0.7374,0.5762,0.99222,0.85766,0.000523928,0.000523928,0.000523928
15,55.4032,0.66655,1.26011,0.96338,0.72965,0.90708,0.86553,0.76727,0.52724,0.98356,0.83819,0.000512923,0.000512923,0.000512923
16,59.7459,0.65847,1.17948,0.92867,0.77279,0.82112,0.88608,0.78463,0.54169,1.04562,0.84268,0.000501917,0.000501917,0.000501917
17,62.8084,0.631,1.10151,0.92669,0.81622,0.85647,0.92212,0.80993,0.55263,0.86798,0.84922,0.000490912,0.000490912,0.000490912
18,66.0334,0.62228,1.09582,0.93044,0.88095,0.87689,0.92212,0.81239,0.53846,0.71921,0.85552,0.000479907,0.000479907,0.000479907
19,69.1015,0.63187,1.41887,0.91376,0.86924,0.87757,0.91307,0.80527,0.52587,0.71671,0.83964,0.000468901,0.000468901,0.000468901
20,73.4331,0.58441,1.37029,0.94101,0.8531,0.88173,0.90226,0.81203,0.53613,0.7422,0.84023,0.000457895,0.000457895,0.000457895
21,76.5745,0.65399,1.05639,0.92183,0.8335,0.84808,0.90847,0.81859,0.51463,0.77387,0.84225,0.00044689,0.00044689,0.00044689
22,79.7527,0.58785,0.95418,0.91876,0.79383,0.87947,0.8987,0.81974,0.48825,0.70549,0.83542,0.000435884,0.000435884,0.000435884
23,82.7916,0.61765,1.27287,0.89736,0.80282,0.87673,0.9244,0.82527,0.52187,0.70003,0.84474,0.000424879,0.000424879,0.000424879
24,87.0362,0.60414,0.99766,0.91205,0.83271,0.92407,0.9506,0.85536,0.50888,0.63028,0.84224,0.000413873,0.000413873,0.000413873
25,90.1345,0.59343,0.9712,0.90566,0.7765,0.91945,0.91767,0.81779,0.51429,0.69739,0.84748,0.000402868,0.000402868,0.000402868
26,93.2361,0.55478,0.87431,0.9188,0.87587,0.84785,0.93097,0.83286,0.51473,0.66819,0.84321,0.000391862,0.000391862,0.000391862
27,96.3731,0.55971,0.86696,0.90534,0.86027,0.8818,0.9402,0.84887,0.48879,0.63029,0.8333,0.000380857,0.000380857,0.000380857
28,100.544,0.63382,1.00525,0.91551,0.93215,0.87074,0.94814,0.85296,0.49821,0.59699,0.83313,0.000369851,0.000369851,0.000369851
29,103.599,0.66136,0.96594,0.95879,0.90905,0.86497,0.95009,0.86224,0.49233,0.62103,0.83582,0.000358846,0.000358846,0.000358846
30,106.549,0.57603,0.83478,0.8924,0.86202,0.88276,0.93269,0.83701,0.48562,0.61616,0.83415,0.00034784,0.00034784,0.00034784
31,109.813,0.51402,0.90722,0.87252,0.87483,0.88676,0.93529,0.85002,0.50692,0.57424,0.84375,0.000336835,0.000336835,0.000336835
32,114.154,0.56648,0.7902,0.91314,0.82712,0.95673,0.945,0.84635,0.50739,0.54633,0.83289,0.000325829,0.000325829,0.000325829
33,117.202,0.57847,0.83386,0.90222,0.8838,0.87452,0.94665,0.84744,0.49687,0.54093,0.83287,0.000314824,0.000314824,0.000314824
34,120.289,0.57322,0.81693,0.90072,0.8771,0.92882,0.96462,0.87224,0.48296,0.51253,0.83964,0.000303818,0.000303818,0.000303818
35,123.676,0.56446,0.78441,0.91174,0.90711,0.93814,0.97022,0.87334,0.48812,0.50569,0.84112,0.000292813,0.000292813,0.000292813
36,127.553,0.54215,0.79774,0.87608,0.92975,0.91336,0.97456,0.87611,0.50533,0.5154,0.84623,0.000281807,0.000281807,0.000281807
37,130.871,0.56706,0.78808,0.91605,0.93198,0.91318,0.95385,0.86365,0.47257,0.51036,0.83268,0.000270802,0.000270802,0.000270802
38,133.815,0.5726,0.79819,0.92589,0.9243,0.88561,0.96369,0.878,0.47552,0.51343,0.83242,0.000259796,0.000259796,0.000259796
39,137.417,0.60385,0.85124,0.9534,0.92801,0.89436,0.96585,0.87029,0.4845,0.51169,0.83401,0.000248791,0.000248791,0.000248791
40,141.275,0.51671,0.7043,0.88412,0.91444,0.90322,0.96483,0.86917,0.45997,0.47177,0.82278,0.000237785,0.000237785,0.000237785
41,144.207,0.57339,0.789,0.91692,0.90579,0.91919,0.97181,0.87646,0.47335,0.47813,0.82518,0.00022678,0.00022678,0.00022678
42,147.456,0.51979,0.72691,0.88371,0.90694,0.93698,0.96985,0.88537,0.46995,0.48713,0.82754,0.000215774,0.000215774,0.000215774
43,151.076,0.48356,0.65882,0.87713,0.93698,0.88713,0.95429,0.86287,0.45974,0.48673,0.8236,0.000204769,0.000204769,0.000204769
44,154.741,0.53145,0.71201,0.88044,0.94181,0.87662,0.94917,0.85527,0.46539,0.49811,0.82728,0.000193763,0.000193763,0.000193763
45,157.802,0.51392,0.70077,0.88534,0.92444,0.90514,0.95795,0.87152,0.46404,0.48994,0.82763,0.000182758,0.000182758,0.000182758
46,160.639,0.50359,0.72797,0.89787,0.90721,0.90978,0.95053,0.85606,0.46472,0.48888,0.82245,0.000171752,0.000171752,0.000171752
47,164.468,0.4931,0.69856,0.85471,0.9148,0.88702,0.93989,0.84313,0.46972,0.49559,0.82592,0.000160747,0.000160747,0.000160747
48,168.054,0.4943,0.67695,0.86929,0.92244,0.89872,0.93927,0.85017,0.46076,0.49355,0.82594,0.000149741,0.000149741,0.000149741
49,171.129,0.49825,0.77525,0.88374,0.91948,0.90606,0.93894,0.85268,0.45247,0.48742,0.82292,0.000138736,0.000138736,0.000138736
50,173.988,0.49175,0.6688,0.88442,0.95906,0.90283,0.95629,0.86796,0.46647,0.47902,0.82601,0.000127731,0.000127731,0.000127731
51,180.917,0.45802,0.76646,0.84249,0.95921,0.89392,0.95363,0.86607,0.48088,0.47691,0.82794,0.000116725,0.000116725,0.000116725
52,184.036,0.68472,1.32801,0.91371,0.95284,0.9073,0.95399,0.85896,0.47997,0.48999,0.82731,0.00010572,0.00010572,0.00010572
53,187.187,0.41362,0.70221,0.82305,0.95533,0.91124,0.95162,0.86489,0.47875,0.48789,0.82534,9.4714e-05,9.4714e-05,9.4714e-05
54,190.896,0.54385,0.75309,0.93161,0.94795,0.89968,0.95113,0.86595,0.47181,0.49105,0.82391,8.37085e-05,8.37085e-05,8.37085e-05
55,194.4,0.44589,0.78175,0.83523,0.94047,0.8981,0.95213,0.8675,0.4704,0.48688,0.82571,7.2703e-05,7.2703e-05,7.2703e-05
56,197.336,0.38141,0.65003,0.82008,0.93827,0.89491,0.95712,0.86697,0.46615,0.48236,0.82546,6.16975e-05,6.16975e-05,6.16975e-05
57,200.316,0.42891,0.77263,0.83655,0.93312,0.89551,0.96001,0.86821,0.46781,0.48162,0.82695,5.0692e-05,5.0692e-05,5.0692e-05
58,203.786,0.41224,0.71585,0.81326,0.94672,0.89195,0.95856,0.87298,0.46665,0.47728,0.82575,3.96865e-05,3.96865e-05,3.96865e-05
59,207.576,0.40484,0.6817,0.83272,0.94941,0.89292,0.95937,0.86812,0.46664,0.47657,0.82482,2.8681e-05,2.8681e-05,2.8681e-05
60,210.476,0.40662,0.72475,0.80061,0.94624,0.89777,0.96197,0.87199,0.46523,0.4726,0.8242,1.76755e-05,1.76755e-05,1.76755e-05
